candidate_id,source,source_record_id,narrative,pass_a_label,pass_a_confidence,pass_a_hazard,pass_a_exposure,pass_a_barrier_failure,pass_a_credible_consequence,pass_a_reason,pass_a_framework_version,pass_b_label,pass_b_confidence,pass_b_hazard,pass_b_exposure,pass_b_barrier_failure,pass_b_credible_consequence,pass_b_reason,pass_b_framework_version,consensus_label,consensus_confidence,reconciliation_status,label_provenance
OSHA-SIR-2024021406,OSHA_SIR,2024021406,"An employee was trying to restart an engine on a compressor that went down. The engine flywheel and starter were not aligned. The employee attempted to use a bar to roll over the flywheel when built-up air pressure caused the entire engine to roll over. The bar then slammed into the employee's left arm, resulting in an injury.",SIF_POTENTIAL,0.8,Unexpected stored air pressure and engine movement,A lever bar was driven into the worker's arm,Stored-energy release was not controlled,Fatal blunt-force strike or crushing,Stored pressure unexpectedly rotated the engine and propelled a bar through the occupied work area.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,"Stored pressure, tension, projectile, or hose-whip energy",Personnel were in the release or projectile line of fire,"Isolation, depressurization, restraint, or containment failed","Credible fatal impact, penetration, major amputation, or internal trauma",Uncontrolled stored energy exposed personnel to a credible fatal or life-altering release consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.800000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-20251010320,OSHA_SIR,20251010320,"On October 15, 2025, an employee and crew were fishing a rod box on a parted rod string. The crew ran a reverse grapple down the hole to retrieve the broken rod box. The employee was using a 36-inch pipe wrench to apply pressure and break a connection down the well bore. Another connection down the well bore unexpectedly released, causing the torque applied to the rod string to return to the surface. The employee lost their grip on the wrench and it then spun around and struck their arm, resulting in a fracture.",SIF_POTENTIAL,0.88,Released downhole torque in a rod string,A large pipe wrench spun into the worker,Stored-torque control and exclusion failed,Fatal head or torso strike,Unexpected torque return accelerated a large wrench with enough energy for a fatal strike.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,"Stored pressure, tension, projectile, or hose-whip energy",Personnel were in the release or projectile line of fire,"Isolation, depressurization, restraint, or containment failed","Credible fatal impact, penetration, major amputation, or internal trauma",Uncontrolled stored energy exposed personnel to a credible fatal or life-altering release consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.880000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024021188,OSHA_SIR,2024021188,"An employee was working from a scaffold over a blowout preventer, using a 5-foot bar to position an orbit valve. An air winch on the rig floor was being used to lift the valve and hold it in place. The air winch line went taut suddenly and struck the 5-foot bar, pushing it toward the substructure of the drilling rig. When the bar struck the substructure, the employee's left ring fingertip was caught between them. The fingertip was amputated.",SIF_POTENTIAL,0.8,Suddenly tensioned winch line and long bar,Worker on a scaffold was at the bar's pinch and movement path,Winch coordination and line-of-fire controls failed,"Fall, crushing, or major hand injury","A taut winch line drove a long bar beside an elevated worker, creating credible fall and struck-by escalation.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,"Suspended, lifted, or falling heavy load",Personnel were beneath or immediately beside the load path,"Load support, retention, rigging, or exclusion control failed",Credible fatal crushing or catastrophic head and body trauma,The uncontrolled load and occupied drop zone support a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.800000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025043243,OSHA_SIR,2025043243,"Three employees were plugging an oil and gas well when one of the onsite explosives detonated prematurely, injuring one employee. The employee sustained multiple lacerations and fractures to the waist and legs.",SIF_POTENTIAL,0.99,Premature explosive detonation,Workers were within the blast area,Explosive timing and initiation controls failed,Fatal blast or fragmentation injury,"An explosive detonated prematurely with multiple workers onsite, creating obvious fatal blast potential.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.97,"Fire, explosion, or ignitable hydrocarbon energy","Personnel were within the flame, heat, or blast zone","Fuel containment, isolation, ignition control, or verification failed","Credible fatal burns, blast trauma, or smoke inhalation",The described fire or explosion exposure supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.970000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024109936,OSHA_SIR,2024109936,"An employee was driving a utility task vehicle (UTV) when it struck a load of steel angle iron that was resting on forklift forks, resulting in facial fractures.",SIF_POTENTIAL,0.93,Powered vehicle collision,Occupants were in the impact path,Traffic separation and visibility controls failed,"Fatal impact, crushing, or impalement",The moving vehicle collision involved heavy equipment or protruding steel with credible fatal impact energy.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.930000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025076412,OSHA_SIR,2025076412,"On July 3, 2025, at approximately 9:45 PM, an employee was operating a utility task vehicle (UTV) on a project road when the UTV struck the rear of a reversing bulldozer. The employee struck their head and face on the UTV dashboard and collapsed onto a UTV passenger. The employee was hospitalized with a forehead laceration, a nasal fracture, and central cord syndrome. The other employee on the UTV sustained a bruised left forearm and was not hospitalized.",SIF_POTENTIAL,0.98,Powered vehicle collision,Occupants were in the impact path,Traffic separation and visibility controls failed,"Fatal impact, crushing, or impalement",The moving vehicle collision involved heavy equipment or protruding steel with credible fatal impact energy.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025088413,OSHA_SIR,2025088413,An employee was loading an aerial lift onto a truck trailer. The aerial lift became unbalanced and the employee was ejected from the basket. The employee sustained fractures to their nose and pelvis and was hospitalized.,SIF_POTENTIAL,0.96,Unbalanced aerial lift during loading,Operator was ejected from the basket,Load stability and restraint controls failed,Fatal fall or crushing by equipment,Loss of lift stability ejected the operator and could credibly cause fatal fall or crush injury.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-20241211880,OSHA_SIR,20241211880,An employee was operating a skid steer on a pit line when it rolled. The employee sustained fractured ribs.,SIF_POTENTIAL,0.95,Off-road vehicle rollover or loss of control,Operator occupied the overturning or departing vehicle,Vehicle stability or route controls failed,Fatal crush or ejection,Loss of vehicle stability exposed the occupant to credible fatal rollover or ejection consequences.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025088531,OSHA_SIR,2025088531,"An employee was descending a dirt road on a utility task vehicle (UTV) after finishing fueling a booster pump. The vehicle left the dirt road and went over a fallen tree. The employee sustained broken ankles, a sprained left wrist, and a contusion/scrape on his upper abdomen. The employee was hospitalized.",SIF_POTENTIAL,0.94,Off-road vehicle rollover or loss of control,Operator occupied the overturning or departing vehicle,Vehicle stability or route controls failed,Fatal crush or ejection,Loss of vehicle stability exposed the occupant to credible fatal rollover or ejection consequences.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.940000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024010047,OSHA_SIR,2024010047,An employee was standing on top of a pump truck when he slipped and fell to the ground. The employee suffered a skull fracture.,SIF_POTENTIAL,0.96,Elevated fall greater than about six feet,Worker fell from elevated equipment or structure,Fall prevention or personal fall protection failed,Fatal head trauma or permanent spinal injury,The described fall height and failed fall control create credible fatal or life-altering potential.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,Elevated work or an unprotected lower-level fall,Personnel were exposed to a significant fall path,"Platform integrity, edge protection, access, or fall-arrest control failed","Credible fatal head, spinal, or multisystem trauma",The significant fall exposure and failed protective barrier support credible fatal or life-altering potential.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.960000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024010648,OSHA_SIR,2024010648,"An employee was inspecting trays inside an amine tower vessel to determine what needed to be replaced. The employee climbed down through the 20 percolator trays, going through 18"" x 22"" openings in the trays, until he reached the third or fourth tray from the bottom. The employee then slipped and fell approximately 20 feet to a metal surface below. The employee sustained injuries to their back, left elbow, and ankles and was hospitalized.",SIF_POTENTIAL,0.99,Elevated fall greater than about six feet,Worker fell from elevated equipment or structure,Fall prevention or personal fall protection failed,Fatal head trauma or permanent spinal injury,The described fall height and failed fall control create credible fatal or life-altering potential.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,Elevated work or an unprotected lower-level fall,Personnel were exposed to a significant fall path,"Platform integrity, edge protection, access, or fall-arrest control failed","Credible fatal head, spinal, or multisystem trauma",The significant fall exposure and failed protective barrier support credible fatal or life-altering potential.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.960000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024042949,OSHA_SIR,2024042949,"An employee was working from an aerial lift when they slipped and their safety harness ripped, causing them to fall 37 feet to the dirt surface below. They sustained fractures to ribs, both collar bones, vertebrae, and also sustained contusions to the lungs.",SIF_POTENTIAL,0.99,Elevated fall greater than about six feet,Worker fell from elevated equipment or structure,Fall prevention or personal fall protection failed,Fatal head trauma or permanent spinal injury,The described fall height and failed fall control create credible fatal or life-altering potential.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,Elevated work or an unprotected lower-level fall,Personnel were exposed to a significant fall path,"Platform integrity, edge protection, access, or fall-arrest control failed","Credible fatal head, spinal, or multisystem trauma",The significant fall exposure and failed protective barrier support credible fatal or life-altering potential.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.960000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025010866,OSHA_SIR,2025010866,"On January 27, 2025, an employee was performing housekeeping. He was moving his toolbox and felt a pain in his lower abdomen. The employee was hospitalized with a hernia.",NON_SIF_POTENTIAL,0.99,Manual movement of a toolbox,Worker experienced exertion while moving it,Ergonomic control was inadequate,Musculoskeletal injury,Ordinary manual overexertion does not establish credible fatal or life-altering energy.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.95,Manual exertion or awkward body movement,Personnel were exposed to localized musculoskeletal strain,Ergonomic or manual-handling control was ineffective,Musculoskeletal injury without supported fatal or life-altering potential,The exertion mechanism supports musculoskeletal injury but not a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024053968,OSHA_SIR,2024053968,"An employee was unloading a fiberglass hut from a semi-truck and bracing it from the wind when a telehandler rolled over his leg, resulting in lower leg fractures requiring surgery.",SIF_POTENTIAL,0.97,Heavy mobile equipment run-over,Pedestrian's limb was under the moving equipment,Pedestrian separation and spotter controls failed,Fatal whole-body run-over or crushing,A pedestrian was in the travel path of heavy equipment that could continue over the body.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024021303,OSHA_SIR,2024021303,"The injured employee was performing pre-job spotting and was staging equipment. The employee moved in to connect a bulldozer. The operator of the bulldozer saw that a bulk truck was moving backward, so he moved the bulldozer forward. The injured employee was crushed between the bulldozer's right ripper and the rear of the bulk trailer. He sustained a pelvic fracture on his left side and an open fracture to his upper right leg.",SIF_POTENTIAL,0.99,Vehicle backing or movement between equipment,Worker was caught between large vehicles or trailer,Spotting and exclusion-zone controls failed,Fatal compression injury,The worker occupied a full-body pinch zone between powered vehicles and fixed equipment.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025087666,OSHA_SIR,2025087666,An employee was guiding a work truck as it backed up to a float trailer when they were caught between the truck and the trailer. The employee sustained soft tissue injuries to their abdomen and back.,SIF_POTENTIAL,0.99,Vehicle backing or movement between equipment,Worker was caught between large vehicles or trailer,Spotting and exclusion-zone controls failed,Fatal compression injury,The worker occupied a full-body pinch zone between powered vehicles and fixed equipment.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025055136,OSHA_SIR,2025055136,An employee was installing gas lines when a tracked excavator drove over the employee's right foot. The employee was hospitalized with fractures to their tibia and fibula.,SIF_POTENTIAL,0.94,Heavy mobile equipment run-over,Pedestrian's limb was under the moving equipment,Pedestrian separation and spotter controls failed,Fatal whole-body run-over or crushing,A pedestrian was in the travel path of heavy equipment that could continue over the body.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.940000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024054584,OSHA_SIR,2024054584,An employee was walking across the drilling pad and was struck and run over by a telehandler forklift. The employee's leg was crushed and broken.,SIF_POTENTIAL,0.99,Heavy mobile equipment run-over,Pedestrian's limb was under the moving equipment,Pedestrian separation and spotter controls failed,Fatal whole-body run-over or crushing,A pedestrian was in the travel path of heavy equipment that could continue over the body.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-20231211376,OSHA_SIR,20231211376,"The injured employee was standing near the end of a pipe rack installing a pin in the pipe stop. Another employee was utilizing a forklift nearby to move another set of pipe racks. As the forklift moved, it drove over a bump and bounced; the brakes were then applied and one side of the pipe rack fell off the forks and landed on the injured employee s right boot, pinning his boot against the ground and resulting in multiple fractures and lacerations to his right foot.",SIF_POTENTIAL,0.91,Pipe rack fell from forklift forks,Worker was beside and partly under the falling rack,Load securement and exclusion-zone controls failed,Fatal struck-by or crushing injury,A heavy rack fell from lifting equipment into an occupied area and could have struck the body.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,"Suspended, lifted, or falling heavy load",Personnel were beneath or immediately beside the load path,"Load support, retention, rigging, or exclusion control failed",Credible fatal crushing or catastrophic head and body trauma,The uncontrolled load and occupied drop zone support a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.910000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025099342,OSHA_SIR,2025099342,"On September 18, 2025, an employee was descending stairs on a rig floor when he fell on the third step from the top and landed on his right foot, which then turned inward. The employee suffered a fracture that required hospitalization.",NON_SIF_POTENTIAL,0.93,Short stair descent,Worker fell on the third step,Ordinary access control failed,Localized fall injury,A short stair fall without an added high-energy hazard does not establish credible SIF potential.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.91,"Same-level or short-step slip, trip, or fall energy",Personnel lost footing without an additional high-energy exposure,Walking-surface or footing control failed,Musculoskeletal injury without supported fatal or life-altering potential,The described low-energy fall lacks an additional mechanism supporting credible fatal or life-altering potential.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.910000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025087910,OSHA_SIR,2025087910,An employee was restarting a compressor when he bumped into the side of a staircase and suffered a bruised leg. The employee was hospitalized.,NON_SIF_POTENTIAL,0.99,Contact with a fixed staircase,Worker bumped a leg against the structure,Clearance awareness was inadequate,Minor localized impact,Low-energy contact with a stationary staircase has no credible SIF escalation in the narrative.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.88,"Localized contact, impact, or manual-handling energy",Personnel contacted the immediate object or surface,"Local positioning, handling, or housekeeping control failed",Localized injury without a supported fatal or life-altering escalation,The localized contact mechanism does not support a credible fatal or life-altering potential consequence.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.880000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024010118,OSHA_SIR,2024010118,"An employee was repairing an artificial lift. The employee opened a valve on the lift that caused a rapid release of energy, and the employee was struck by an object. The employee suffered fractures to the skull, right orbital socket, and right cheek. The employee was hospitalized.",SIF_POTENTIAL,0.98,Rapid energy release and propelled object,Worker was struck in the head,Isolation and depressurization controls failed,Fatal cranial trauma,Opening the lift released energy and propelled an object toward the worker's head.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,"Stored pressure, tension, projectile, or hose-whip energy",Personnel were in the release or projectile line of fire,"Isolation, depressurization, restraint, or containment failed","Credible fatal impact, penetration, major amputation, or internal trauma",Uncontrolled stored energy exposed personnel to a credible fatal or life-altering release consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.960000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025032361,OSHA_SIR,2025032361,"An employee was performing a hot tap. The employee set a completion plug in preparation of removing the completion plug stopple tool. The tool was not completely set, and gas pressure and metal debris were released from the blow out. The employee sustained multiple contusions and abrasions to the chest, neck and face area, loss of eyes, and finger amputations.",SIF_POTENTIAL,0.99,High-pressure pipe or vessel failure,Worker was in the projectile and release path,Pressure containment or test controls failed,Fatal projectile or blunt-force trauma,The pressurized component failed and launched material through an occupied work area.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,"Stored pressure, tension, projectile, or hose-whip energy",Personnel were in the release or projectile line of fire,"Isolation, depressurization, restraint, or containment failed","Credible fatal impact, penetration, major amputation, or internal trauma",Uncontrolled stored energy exposed personnel to a credible fatal or life-altering release consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.960000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024054394,OSHA_SIR,2024054394,"An employee was dewatering water base mud from inside the dewatering unit. They were standing at the transfer tank monitoring the discharged fluid from the centrifuge to make sure it was free of solids. The employee rotated the 6"" pipe and 90-degree elbow so that the fluid would dump into the other side of the transfer tank and reached with his right hand to pull on the handle attached to the elbow. When the employee pulled on the handle to rotate the elbow, the elbow fell off and landed on his left hand which was resting on the divider wall below. The employee suffered blunt force trauma to the left hand that caused a laceration to the ring fingertip requiring stitches and an amputation to the middle fingertip.",NON_SIF_POTENTIAL,0.84,Small component dropped at hand level,Worker's hand or finger was beneath the component,Hand placement and support control failed,Localized digit injury,The described drop is confined to the hand without credible full-body or fatal exposure.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.89,Localized hand or finger pinch and crush energy,A hand or finger entered the immediate pinch point,Hand placement or local separation control failed,Localized hand injury without a supported fatal or life-altering escalation,The narrative supports a localized low-energy pinch exposure without credible fatal or life-altering escalation.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.840000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024021191,OSHA_SIR,2024021191,"An employee was holding a back-pressure regulator. A pipe came apart (under tension from a forklift) and injured the employee's left hand, lacerating and fracturing the index finger.",SIF_POTENTIAL,0.8,Forklift-tensioned pipe connection,Worker held the regulator beside the separating pipe,Tension release and exclusion-zone controls failed,Fatal projectile or whipping-pipe strike,The pipe separated while under powered tension and could credibly strike the worker's head or body.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,"Stored pressure, tension, projectile, or hose-whip energy",Personnel were in the release or projectile line of fire,"Isolation, depressurization, restraint, or containment failed","Credible fatal impact, penetration, major amputation, or internal trauma",Uncontrolled stored energy exposed personnel to a credible fatal or life-altering release consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.800000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024098993,OSHA_SIR,2024098993,"An employee was removing a section of fencing around a yard using a backhoe. The fence section had three rails (pipes) on each side of a center post. The far end of the rails had been torch-cut from their respective posts. Due to the tension from the backhoe, the connected portion of the pipe broke at the weld, causing the rail section to flip upward toward the back of the backhoe. One end of the pipe hit the ground at an almost straight-up angle and fell toward the seat where the employee was sitting. The end of the pipe that was torch cut edge struck the employee on top of his head on the left side, causing a contusion, a fracture, and a laceration. The employee was hospitalized.",SIF_POTENTIAL,0.96,Backhoe-tensioned fence rail,Worker sat in the rail's swing and fall path,Stored-tension and exclusion controls failed,Fatal penetrating or head injury,The released rail flipped upright and fell toward the occupied operator seat.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,"Stored pressure, tension, projectile, or hose-whip energy",Personnel were in the release or projectile line of fire,"Isolation, depressurization, restraint, or containment failed","Credible fatal impact, penetration, major amputation, or internal trauma",Uncontrolled stored energy exposed personnel to a credible fatal or life-altering release consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.960000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024098429,OSHA_SIR,2024098429,"On September 11, 2024, an employee was unloading electric utility meters and closing the car door when her left middle finger became caught between the door and the car frame, resulting in an amputation of the fingertip.",NON_SIF_POTENTIAL,0.99,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.93,"Door, gate, or hinge pinch energy",A hand or finger entered the closing pinch point,Hand clearance from the closing path was not maintained,Localized hand injury without supported fatal or life-altering potential,The closing-door pinch is localized and lacks credible fatal or life-altering escalation.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.930000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024043641,OSHA_SIR,2024043641,An employee was breaking down a drill rig when the tower came down and struck them in the right thigh. They sustained a fractures to their L3 and L4 vertebrae and were hospitalized.,SIF_POTENTIAL,0.98,Drill-rig tower movement during teardown,Worker was in the tower's fall path,Structural-control and exclusion-zone controls failed,Fatal crushing or spinal injury,"The rig tower came down into an occupied area, creating credible fatal crushing exposure.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,"Suspended, lifted, or falling heavy load",Personnel were beneath or immediately beside the load path,"Load support, retention, rigging, or exclusion control failed",Credible fatal crushing or catastrophic head and body trauma,The uncontrolled load and occupied drop zone support a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024010850,OSHA_SIR,2024010850,"An employee was preparing to load a curtain-side trailer with pallets of carbon. While the support beam was being removed, it came loose from the trailer and closed on the employee's middle fingertip. He suffered a partial amputation to the finger.",NON_SIF_POTENTIAL,0.94,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.89,Localized hand or finger pinch and crush energy,A hand or finger entered the immediate pinch point,Hand placement or local separation control failed,Localized hand injury without a supported fatal or life-altering escalation,The narrative supports a localized low-energy pinch exposure without credible fatal or life-altering escalation.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.890000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024021688,OSHA_SIR,2024021688,"An employee was on a barge hooking up and unhooking loads on a boom crane. While under the boom crane, the employee was struck in the side of the head and the body by a free-falling headache ball and fast line. The employee suffered fractures and internal bleeding and was hospitalized.",SIF_POTENTIAL,0.99,Free-falling crane headache ball and fast line,Worker was beneath the boom and struck in head and body,Suspended-load exclusion and hoist control failed,Fatal blunt-force or crushing injury,A heavy crane component free-fell onto a worker beneath the boom.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,"Suspended, lifted, or falling heavy load",Personnel were beneath or immediately beside the load path,"Load support, retention, rigging, or exclusion control failed",Credible fatal crushing or catastrophic head and body trauma,The uncontrolled load and occupied drop zone support a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
